	English	Arabic	time/m.s
153	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
154	"But, though the bank was almost always with him, and though the coach (in a confused way, like the presence of pain under an opiate) was always with him, there was another current of impression that never ceased to run, all through the night. He was on his way to dig some one out of a grave.
"	[{'translation_text': 'ولكن، على الرغم من أن البنك كان دائماً تقريباً معه، وعلى الرغم من أن المدرب (بطريقة مشوشة، مثل وجود الألم تحت مادة أفيونية) كان دائماً معه، كان هناك تيار آخر من الإنطباع الذي لم يتوقف أبداً عن الهرب، طوال الليل. وكان في طريقه إلى حفر واحد من قبره.'}]	2.13
155	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
156	"Now, which of the multitude of faces that showed themselves before him was the true face of the buried person, the shadows of the night did not indicate; but they were all the faces of a man of five-and- forty by years, and they differed principally in the passions they expressed, and in the ghastliness of their worn and wasted state. Pride, contempt, defiance, stubbornness, submission, lamentation, succeeded one another; so did varieties of sunken cheek, cadaverous colour, emaciated hands and figures. But the face was in the main one face, and every head was prematurely white. A hundred times the dozing passenger inquired of this spectre:
"	[{'translation_text': 'واما الذين من كثرة الوجوه التي ظهرت امامه فكان الوجه الحقيقي للمدون فلم تشر ظلال الليل بل جميع وجوه رجل من خمس وأربعين سنة واختلفوا بشكل رئيسي في العواطف التي عبروا عنها وفي مذلات ثيابهم وحالتهم البائسة. الكبرياء والازدراء والازدراء والعناد والخضوع والرأفة وخلف بعضهم بعضا. هكذا كانت اصناف من الخد الغاضب واللون المساجد واليد والأفعال المكبوتة. ولكن الوجه كان في الوجه الرئيسي وكان كل راس ابيض. مئة مرة استفسر الراكب عن هذا الطيف.'}]	4.41
157	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
158	"“Buried how long?”
"	"[{'translation_text': '""القلق إلى متى؟""'}]"	0.25
159	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
160	"The answer was always the same: “Almost eighteen years.”
"	"[{'translation_text': 'وكان الجواب دائماً هو نفسه: ""ثمانية عشر عاماً تقريباً"".'}]"	0.51
161	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
162	"“You had abandoned all hope of being dug out?”
"	"[{'translation_text': '""لقد تخليت عن كل أمل في أن يتم إخراجك؟""'}]"	0.53
163	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
164	"“Long ago.”
"	"[{'translation_text': '"" في الماضي "" .'}]"	0.31
165	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
166	"“You know that you are recalled to life?”
"	[{'translation_text': '“هل تعلم أن الحياة تُذكر بك؟”'}]	0.5
167	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
168	"“They tell me so.”
"	"[{'translation_text': '"" هم يخبرونني بذلك "" .'}]"	0.3
169	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
170	"“I hope you care to live?”
"	"[{'translation_text': '""آمل أن تهتمي بالعيش؟""'}]"	0.36
171	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
172	"“I can’t say.”
"	"[{'translation_text': '""لا أستطيع أن أقول"".'}]"	0.25
173	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
174	"“Shall I show her to you? Will you come and see her?”
"	"[{'translation_text': '""هل أريها لك؟ هل ستأتي لرؤيتها؟""'}]"	0.44
175	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
176	"The answers to this question were various and contradictory. Sometimes the broken reply was, “Wait! It would kill me if I saw her too soon.” Sometimes, it was given in a tender rain of tears, and then it was, “Take me to her.” Sometimes it was staring and bewildered, and then it was, “I don’t know her. I don’t understand.”
"	"[{'translation_text': 'كانت الإجابات على هذا السؤال مختلفة ومتناقضة. ففي بعض الأحيان كان الجواب المكسور: ""مهلاً! كان من شأنه أن يقتلني إذا رأيتها في وقت مبكر جداً"". وفي بعض الأحيان، كان يعطى في أمطار رقيقة من الدموع، ثم كان ""خذني إليها"". وفي بعض الأحيان كان التحديق والمحير، ثم كان ""لا أعرفها، ولا أفهم"".'}]"	2.3
177	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
178	"After such imaginary discourse, the passenger in his fancy would dig, and dig, dig–now with a spade, now with a great key, now with his hands–to dig this wretched creature out. Got out at last, with earth hanging about his face and hair, he would suddenly fan away to dust. The passenger would then start to himself, and lower the window, to get the reality of mist and rain on his cheek.
"	[{'translation_text': 'بعد مثل هذا الخطاب الوهمي، يقوم الراكب في خياله بالحفر، والحفر، والحفر - الحفر الآن مع مسرد، الآن مع مفتاح عظيم، الآن مع يديه - لحفر هذا المخلوق البائس خارجا. خرج أخيرا، مع الأرض معلقة حول وجهه وشعره، فإنه فجأة ينجرف بعيدا إلى الغبار. ثم يبدأ الراكب من نفسه، ثم ينزل النافذة، للحصول على حقيقة الضباب والمطر على خده.'}]	2.87
179	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
180	"Yet even when his eyes were opened on the mist and rain, on the moving patch of light from the lamps, and the hedge at the roadside retreating by jerks, the night shadows outside the coach would fall into the train of the night shadows within. The real Banking-house by Temple Bar, the real business of the past day, the real strong rooms, the real express sent after him, and the real message returned, would all be there. Out of the midst of them, the ghostly face would rise, and he would accost it again.
"	[{'translation_text': 'وحتى عندما فتحت عينيه على الضباب والمطر، وعلى رقعة الضوء المتحركة من المصابيح، وعلى السياج على جانب الطريق يتراجع من قبل الاحمق، كانت ظلال الليل خارج العربة تسقط في قطار الليل ظلال داخل. وكان البنك الحقيقي من قِبَل معبد بار، والعمل الحقيقي في اليوم الماضي، والغرف القوية الحقيقية، والعبرة الحقيقية المرسلة من بعده، والرسالة الحقيقية ترجع، ستكون كلها هناك. من وسطها، كان الوجه الشبحي يرتفع، وكان يؤخرها مرة أخرى.'}]	3.49
181	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
182	"“Buried how long?”
"	"[{'translation_text': '""القلق إلى متى؟""'}]"	0.28
183	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
184	"“Almost eighteen years.”
"	"[{'translation_text': '"" حوالي ثمانية عشر عاما "" .'}]"	0.33
185	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
186	"“I hope you care to live?”
"	"[{'translation_text': '""آمل أن تهتمي بالعيش؟""'}]"	0.34
187	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
188	"“I can’t say.”
"	"[{'translation_text': '""لا أستطيع أن أقول"".'}]"	0.27
189	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
190	"Dig–dig–dig–until an impatient movement from one of the two passengers would admonish him to pull up the window, draw his arm securely through the leathern strap, and speculate upon the two slumbering forms, until his mind lost its hold of them, and they again slid away into the bank and the grave.
"	[{'translation_text': 'إلى أن تتحرك حركة صبورة من أحد الركاب الاثنين من شأنه أن يحضه على سحب النافذة، ورسم ذراعه بأمان من خلال الشريط الجلدي، والتكهن على شكلي النوم، حتى يفقد عقله قبضته عليهما، ثم انزلقوا مرة أخرى بعيدا إلى البنك والقبر.'}]	1.84
191	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
192	"“Buried how long?”
"	"[{'translation_text': '""القلق إلى متى؟""'}]"	0.28
193	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
194	"“Almost eighteen years.”
"	"[{'translation_text': '"" حوالي ثمانية عشر عاما "" .'}]"	0.37
195	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
196	"“You had abandoned all hope of being dug out?”
"	"[{'translation_text': '""لقد تخليت عن كل أمل في أن يتم إخراجك؟""'}]"	0.54
197	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
198	"“Long ago.”
"	"[{'translation_text': '"" في الماضي "" .'}]"	0.33
199	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
200	"The words were still in his hearing as just spoken–distinctly in his hearing as ever spoken words had been in his life–when the weary passenger started to the consciousness of daylight, and found that the shadows of the night were gone.
"	[{'translation_text': 'كانت الكلمات لا تزال في سماعه كما كان مجرد الكلام -- بشكل واضح في سماعه كما كان في أي وقت مضى الكلمات المنطوقة كانت في حياته -- عندما بدأ الراكب المرهق إلى الوعي ضوء النهار، ووجد أن ظلال الليل قد اختفت.'}]	1.61
201	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
202	"He lowered the window, and looked out at the rising sun. There was a ridge of ploughed land, with a plough upon it where it had been left last night when the horses were unyoked; beyond, a quiet coppice-wood, in which many leaves of burning red and golden yellow still remained upon the trees. Though the earth was cold and wet, the sky was clear, and the sun rose bright, placid, and beautiful.
"	[{'translation_text': 'فنزل النافذة ونظر الى شروق الشمس. كان هناك ارتفاع من الارض المحفورة، مع محراث عليها حيث تركت الليلة الماضية عندما كانت الخيل غير مفككة؛ ما وراء ذلك، خشب ساكن، حيث بقيت على الاشجار العديد من اوراق صفراء حمراء وذهبية مشتعلة. وعلى الرغم من أن الأرض كانت باردة ومبللة، كانت السماء واضحة، والشمس تشرق، ومشرقة، وبراقة، وجميلة.'}]	2.81
203	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
204	"“Eighteen years!” said the passenger, looking at the sun. “Gracious Creator of day! To be buried alive for eighteen years!”
"	"[{'translation_text': 'قال المسافر ""ثمانون سنة!"" وهو ينظر إلى الشمس. ""يا خالق اليوم الكريم! أن يدفن حياً لمدة ثمانية عشر عاماً!""'}]"	1.04
205	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
206	"IV
"	[{'translation_text': 'رابعا -'}]	0.23
207	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
208	"The Preparation
"	[{'translation_text': 'رابعاً - الأعمال التحضيرية'}]	0.3
209	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.31
210	"When the mail got successfully to Dover, in the course of the forenoon, the head drawer at the Royal George Hotel opened the coach-door as his custom was. He did it with some flourish of ceremony, for a mail journey from London in winter was an achievement to congratulate an adventurous traveller upon.
"	[{'translation_text': 'عندما وصل البريد بنجاح إلى دوفر، في سياق الواجهة، فتح الدرج الرئيسي في فندق رويال جورج باب المدرب كما كانت عادته. فعل ذلك مع بعض ازدهار الاحتفال، لأن رحلة البريد من لندن في الشتاء كان إنجازاً لتهنئة المغامر المسافر على.'}]	1.8
211	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.26
212	"By that time, there was only one adventurous traveller left be congratulated: for the two others had been set down at their respective roadside destinations. The mildewy inside of the coach, with its damp and dirty straw, its disageeable smell, and its obscurity, was rather like a larger dog-kennel. Mr. Lorry, the passenger, shaking himself out of it in chains of straw, a tangle of shaggy wrapper, flapping hat, and muddy legs, was rather like a larger sort of dog.
"	[{'translation_text': 'وفي ذلك الوقت، لم يتبق سوى واحد من المسافرين المغامرين: فبالنسبة للاثنين الآخرين كانا قد وضعا في وجهتيهما على جانب الطريق. وكان البذخ داخل المدرب، مع رطوبته وقشه القذر، ورائحته المتناثرة، وغموضه، أشبه بل بنواة أكبر للكلب. وكان السيد لوري، الراكب، يهز نفسه منه في سلاسل من القش، وملعقة من أغلفة الغزال، والقبعة الملفقة، وأرجل الطين، أشبه نوعاً ما بنوع أكبر من الكلاب.'}]	3.88
213	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
214	"“There will be a packet to Calais, tomorrow, drawer?”
"	"[{'translation_text': '""سيكون هناك حزمة إلى كاليه، غدا، درج؟ ""'}]"	0.48
215	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
216	"“Yes, sir, if the weather holds and the wind sets tolerable fair. The tide will serve pretty nicely at about two in the afternoon, sir. Bed, sir?”
"	"[{'translation_text': '""نعم، يا سيدي، إذا استمر الطقس والرياح تستقر على نحو معقول، فالمد سيخدم بشكل جيد جداً في حوالي الثانية بعد الظهر، يا سيدي، سرير، سيدي؟""'}]"	1.35
217	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
218	"“I shall not go to bed till night; but I want a bedroom, and a barber.”
"	"[{'translation_text': '"" لن أذهب إلى الفراش حتى الليل؛ ولكنني أريد غرفة نوم وحليقا "" .'}]"	0.56
219	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
220	"“And then breakfast, sir? Yes, sir. That way, sir, if you please. Show Concord! Gentleman’s valise and hot water to Concord. Pull off gentleman’s boots in Concord. (You will find a fine sea-coal fire, sir.) Fetch barber to Concord. Stir about there, now, for Concord!”
"	"[{'translation_text': '""وبعد ذلك فطور، سيدي؟ نعم، سيدي. بهذه الطريقة، سيدي، إذا سمحتم. أظهروا كونكورد! حمالة الرجال وماءهم الساخن إلى كونكورد. اسحبوا أحذية الرجال في كونكورد. (ستجدون حريقاً رفيعاً في مياه البحر، يا سيدي). أحضروا حلاقاً إلى كونكورد. ستير هناك، الآن، من أجل كونكورد!""'}]"	2.76
221	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
222	"The Concord bed-chamber being always assigned to a passenger by the mail, and passengers by the mail being always heavily wrapped up from head to foot, the room had the odd interest for the establishment of the Royal George, that although but one kind of man was seen to go into it, all kinds and varieties of men came out of it. Consequently, another drawer, and two porters, and several maids and the landlady, were all loitering by accident at various points of the road between the Concord and the coffee-room, when a gentleman of sixty, formally dressed in a brown suit of clothes, pretty well worn, but very well kept, with large square cuffs and large flaps to the pockets, passed along on his way to his breakfast.
"	[{'translation_text': 'وكانت الغرفة، التي كانت تُسند دائماً إلى أحد الركاب بالبريد، والمسافرين في البريد، ملفوفة دائماً بشدة من الرأس إلى القدم، كانت للغرفة مصلحة غريبة في إنشاء المجلس الملكي جورج، على الرغم من أنه لم يُرى سوى نوع واحد من الرجال يدخله، فإن جميع أنواع الرجال وأنواعهم تخرج منه، وبالتالي، كان درج آخر وحمالتان، والعديد من الخادمات وصاحبة الأرض، يتسكعون جميعاً عن طريق الصدفة في نقاط مختلفة من الطريق بين الكونكورد وغرفة القهوة، عندما كان رجل من الستين يرتدي رسمياً بلباساً بنياً من الملابس، يرتدي ملابسه جيداً جداً، ولكنه حُفظ جيداً جداً، مع أصفاد مربعة كبيرة وفجوات كبيرة للجيوب، يمرون جميعاً في طريقه إلى إفطاره.'}]	5.62
223	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
224	"The coffee-room had no other occupant, that forenoon, than the gentleman in brown. His breakfast-table was drawn before the fire, and as he sat, with its light shining on him, waiting for the meal, he sat so still, that he might have been sitting for his portrait.
"	[{'translation_text': 'ولم يكن في غرفة المقهى أي ساكن آخر، ذلك المكان الذي كان فيه الرجل البني، وكانت طاولة إفطاره قد سُحبت قبل الحريق، وبينما كان جالساً، مع ضوءه الذي يضيء عليه، منتظراً الوجبة، جلس جالساً ساكناً حتى أنه ربما كان جالساً من أجل صورته.'}]	2.25
225	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.24
226	"Very orderly and methodical he looked, with a hand on each knee, and a loud watch ticking a sonorous sermon under his flapped waist-coat, as though it pitted its gravity and longevity against the levity and evanescence of the brisk fire. He had a good leg, and was a little vain of it, for his brown stockings fitted sleek and close, and were of a fine texture; his shoes and buckles, too, though plain, were trim. He wore an odd little sleek crisp flaxen wig, setting very close to his head: which wig, it is to be presumed, was made of hair, but which looked far more as though it were spun from filaments of silk or glass. His linen, though not of a fineness in accordance with his stockings, was as white as the tops of the waves that broke upon the neighbouring beach, or the specks of sail that glinted in the sunlight far at sea. A face habitually suppressed and quieted, was still lighted up under the quaint wig by a pair of moist bright eyes that it must have cost their owner, in years gone by, some pains to drill to the composed and reserved expression of Tellson’s Bank. He had a healthy colour in his cheeks, and his face, though lined, bore few traces of anxiety. But, perhaps the confidential bachelor clerks in Tellson’s Bank were principally occupied with the cares of other people; and perhaps second-hand cares, like second-hand clothes, come easily off and on.
"	[{'translation_text': 'وقد نظر إلى ذلك منظّماً ومنظّماً ومنظّماً نظر إليه، بيد على كلّ من الركبة، وساعة صاعقة تُوقّع على شكل ابناء تحت بنده، كما لو كان يُحرّض على جسامته وطولها ضدّها وطولها ضدّها وملابسها وجناحها وجناحيّتها، كما لو أنّها تُسرّبها وطولها وطولها ضدّها وملابسها وسرّيّة النار العجائبيّة، فقد كان لديه ساق جيّدة، وكانت مغطاة قليلاً منه، لأنّ جواربه البنيّة مُثبّتة من شظايا الحرير أو الزجاج، وكانت أحذيته ومشبكه أيضاً، رغم أنّهما كاناً مُسرّحاً، فقد كان أبيض كأعلى الموجات التي كُسرت على الشاطئ المجاور، والذي يفترض أنّه كان مصنوعاً منه،'}]	7.25
227	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
228	"Completing his resemblance to a man who was sitting for his portrait, Mr. Lorry dropped off to sleep. The arrival of his breakfast roused him, and he said to the drawer, as he moved his chair to it:
"	[{'translation_text': 'بعد أن أكمل السيد لوري تشابهه مع رجل كان جالساً من أجل صورته، نزل إلى النوم، فأثاره وصول إفطاره، وقال له إلى الدرج، وهو ينقل كرسيه إليه:'}]	1.3
229	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
230	"“I wish accommodation prepared for a young lady who may come here at any time to-day. She may ask for Mr. Jarvis Lorry, or she may only ask for a gentleman from Tellson’s Bank. Please to let me know.”
"	"[{'translation_text': '"" أتمنى أن يتم إعداد مسكن لشابة قد تأتي إلى هنا في أي وقت من الأوقات حتى اليوم، وقد تطلب السيد جارفيس لوري، أو قد تطلب فقط رجلاً من بنك تيلسون. من فضلك أعلمني"".'}]"	1.73
231	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.31
232	"“Yes, sir. Tellson’s Bank in London, sir?”
"	"[{'translation_text': '""نعم يا سيدي، مصرف تيلسون في لندن، يا سيدي؟""'}]"	0.55
233	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
234	"“Yes.”
"	"[{'translation_text': '""نعم. ""'}]"	0.19
235	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
236	"“Yes, sir. We have oftentimes the honour to entertain your gentlemen in their travelling backwards and forwards betwixt London and Paris, sir. A vast deal of travelling, sir, in Tellson and Company’s House.”
"	"[{'translation_text': '""نعم يا سيدي، كثيراً ما يكون لنا شرف ترفيه سعادتكم في سفرهم إلى الوراء وإلى الأمام في لندن وباريس، يا سيدي. وهناك قدر هائل من السفر، سيدي، في تيلسون وبيت الشركة"".'}]"	1.55
237	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
238	"“Yes. We are quite a French House, as well as an English one.”
"	"[{'translation_text': '""نعم، نحن تماماً دار فرنسية، فضلاً عن إنجليزية. ""'}]"	0.61
239	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
240	"“Yes, sir. Not much in the habit of such travelling yourself, I think, sir?”
"	"[{'translation_text': '""نعم يا سيدي، ليس كثيرا في العادة مثل مثل هذا السفر نفسك، أعتقد، يا سيدي؟""'}]"	0.73
241	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
242	"“Not of late years. It is fifteen years since we–since I– came last from France.”
"	"[{'translation_text': '""ليس في السنوات الأخيرة. إنها خمسة عشر عاماً منذ أن جئنا من فرنسا.""'}]"	0.67
243	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
244	"“Indeed, sir? That was before my time here, sir. Before our people’s time here, sir. The George was in other hands at that time, sir.”
"	"[{'translation_text': '""فعلياً يا سيدي؟ كان هذا قبل وقتي هنا، سيدي. قبل وقت شعبنا هنا، كان جورج في أيدي أخرى في ذلك الوقت، يا سيدي"".'}]"	1.05
245	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
246	"“I believe so.”
"	"[{'translation_text': '"" أعتقد ذلك "" .'}]"	0.22
247	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
248	"“But I would hold a pretty wager, sir, that a House like Tellson and Company was flourishing, a matter of fifty, not to speak of fifteen years ago?”
"	"[{'translation_text': '""لكنني سأراهن، سيدي، على أن بيتاً مثل ""تيلسون"" و""شركة"" كان يزدهر، مسألة خمسين عاماً، ألا نتحدث عنه قبل خمسة عشر عاماً؟"".'}]"	1.42
249	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
250	"“You might treble that, and say a hundred and fifty, yet not be far from the truth.”
"	"[{'translation_text': '""قل مئة وخمسين لا تكون بعيدًا عن الحق.""'}]"	0.49
251	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
252	"“Indeed, sir!”
"	"[{'translation_text': '""فعلاً، يا سيدي!""'}]"	0.3
253	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
254	"Rounding his mouth and both his eyes, as he stepped backward from the table, the waiter shifted his napkin from his right arm to his left, dropped into a comfortable attitude, and stood surveying the guest while he ate and drank, as from an observatory or watchtower. According to the immemorial usage of waiters in all ages.
"	[{'translation_text': 'وفيما كان النادل يدور حول فمه وكلتا عينيه، بينما كان يخطو إلى الوراء من الطاولة، حول منديله من ذراعه اليمنى إلى يساره، وسقط في موقف مريح، ووقف يفحص الضيف بينما كان يأكل ويشرب، من مرصد أو برج مراقبة، وفقاً للاستخدام القاهر للنادل في جميع الأعمار.'}]	2.17
255	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
256	"When Mr. Lorry had finished his breakfast, he went out for a stroll on the beach. The little narrow, crooked town of Dover hid itself away from the beach, and ran its head into the chalk cliffs, like a marine ostrich. The beach was a desert of heaps of sea and stones tumbling wildly about, and the sea did what it liked, and what it liked was destruction. It thundered at the town, and thundered at the cliffs, and brought the coast down, madly. The air among the houses was of so strong a piscatory flavour that one might have supposed sick fish went up to be dipped in it, as sick people went down to be dipped in the sea. A little fishing was done in the port, and a quantity of strolling about by night, and looking seaward: particularly at those times when the tide made, and was near flood. Small tradesmen, who did no business whatever, sometimes unaccountably realised large fortunes, and it was remarkable that nobody in the neighbourhood could endure a lamplighter.
"	[{'translation_text': 'وعندما أنهى السيد لوري فطوره، خرج من أجل نزهة على الشاطئ، حيث اختبأت بلدة دوفر الصغيرة الضيقة والملتوية عن نفسها بعيدا عن الشاطئ، وركضت برأسها إلى المنحدرات، مثل النعامة البحرية. وكان الشاطئ صحراء من أكوام البحر والحجارة تتداعى بشدة، وكان البحر يفعل ما يحلو له، وكان البحر يدمر. وكان الرعد في البلدة، والرعد في المنحدرات، ونزل الساحل، بجنون. وكان الهواء بين البيوت قوياً جداً في الهواء. وكان الهواء بين البيوت قوياً جداً في الهواء، بحيث كان من المفترض أن يكون هناك سمكة مريضة ذهب إلى أعلى فيه، بينما نزل المرضى إلى أسفل ليغرقوا في البحر. وكان الصيد قليلاً في الميناء، وكمية صغيرة من التنزه في الجو ليلاً، وتطلع إلى البحر: وخاصة في تلك الأوقات التي كان فيها المد، وكان قريباً من الفيضان. التجار الصغار، الذين لم يقوموا بأي عمل مهماً كان، وأحياناً ما لم يُحسَم بشكل لا يُحسَن فيه قدر كبير من الحظور، وكان من الملحوظ أن لا أحد في الحي يستطيع تحمل مصباحاً.'}]	7.99
257	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
258	"As the day declined into the afternoon, and the air, which had been at intervals clear enough to allow the French coast to be seen, became again charged with mist and vapour, Mr. Lorry’s thoughts seemed to cloud too. When it was dark, and he sat before the coffee-room fire, awaiting his dinner as he had awaited his breakfast, his mind was busily digging, digging, digging, in the live red coals.
"	[{'translation_text': 'ومع هبوط اليوم في فترة ما بعد الظهر، واتسم الهواء، الذي كان واضحاً على فترات تسمح برؤية الساحل الفرنسي، بالاتهام من جديد بالضباب والبخار، بدا أن أفكار السيد لوري سحابة أيضاً. فعندما كان الظلام مظلماً، وجلس أمام نار المقهى، منتظراً عشاءه وهو ينتظر إفطاره، كان عقله يحفر، ويحفر، ويحفر، ويحفر، في الفحم الأحمر الحي.'}]	2.82
259	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
260	"A bottle of good claret after dinner does a digger in the red coals no harm, otherwise than as it has a tendency to throw him out of work. Mr. Lorry had been idle a long time, and had just poured out his last glassful of wine with as complete an appearance of satisfaction as is ever to be found in an elderly gentleman of a fresh complexion who has got to the end of a bottle, when a rattling of wheels came up the narrow street, and rumbled into the inn-yard.
"	[{'translation_text': 'وزجاجة من المزمار الجيد بعد العشاء تقوم بحفارة في الفحم الأحمر لا ضرر لها، إلا أنها تميل إلى طرده من العمل. وكان السيد لوري عاطلاً لفترة طويلة، وسكب للتو آخر كأس من النبيذ له مع مظهر كامل من الرضا كما هو الحال في أي وقت مضى يمكن العثور عليه في رجل مسن من بشرة طازجة الذي وصل إلى نهاية زجاجة، عندما صعدت مجموعة من العجلات إلى الشارع الضيق، وقفزت إلى فناء الحانة.'}]	3.08
261	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
262	"He set down his glass untouched. “This is Mam’selle!” said he.
"	"[{'translation_text': 'وقال إنه وضع كأسه دون أن يلمسه. وقال: ""هذه هي السيدة!!!"".'}]"	0.73
263	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
264	"In a very few minutes the waiter came in to announce that Miss Manette had arrived from London, and would be happy to see the gentleman from Tellson’s.
"	[{'translation_text': 'في بضع دقائق جاء النادل ليعلن أن الآنسة مانيت قد وصلت من لندن، وسيكون سعيدا لرؤية السيد من تيلسون.'}]	0.83
265	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
266	"“So soon?”
"	"[{'translation_text': '""قريباً جداً؟""'}]"	0.27
267	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.26
268	"Miss Manette had taken some refreshment on the road, and required none then, and was extremely anxious to see the gentleman from Tellson’s immediately, if it suited his pleasure and convenience.
"	[{'translation_text': 'وكانت الآنسة مانيت قد أخذت بعض المرطبات على الطريق، ولم تطلب شيئا في ذلك الوقت، وكانت حريصة جدا لرؤية السيد من تلسون على الفور، إذا كان يناسب سروره وراحته.'}]	1.44
269	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
